Index,Date,ClockTime,RawTime,TraceSampID,BB1:INT,BB2:INT,BB3:INT,BB4:INT,BB5:INT,BB6:INT,BB7:INT,BB8:INT,BP1:LREAL,BP2:LREAL,BB13:INT
151,1970-01-01,11:47:47.28,42467279740685,,770,760,770,770,770,760,760,760,0,"4,891302",103
152,1970-01-01,11:47:47.38,42467379763155,,770,760,770,770,770,760,770,760,0,"4,891302",103
153,1970-01-01,11:47:47.48,42467479784385,,770,760,770,770,770,760,760,760,0,"4,891302",102
154,1970-01-01,11:47:47.58,42467579793130,,770,760,770,770,770,760,770,760,0,"4,891302",103
155,1970-01-01,11:47:47.68,42467679742975,,770,760,770,770,770,760,760,760,0,"4,891302",102
156,1970-01-01,11:47:47.78,42467779784685,,770,760,770,770,770,770,770,760,0,"4,891302",103
157,1970-01-01,11:47:47.88,42467879794630,,770,760,770,770,770,760,760,760,0,"4,891302",102
158,1970-01-01,11:47:47.98,42467979743595,,770,760,770,770,770,760,760,760,0,"4,891302",103
159,1970-01-01,11:47:48.08,42468079784600,,770,770,770,770,770,760,770,760,0,"4,891302",104
160,1970-01-01,11:47:48.18,42468179807075,,770,760,770,770,770,760,770,760,0,"4,891302",102
161,1970-01-01,11:47:48.28,42468279733330,,770,760,770,770,770,760,770,760,0,"4,891302",103
162,1970-01-01,11:47:48.38,42468379727740,,770,760,770,770,770,760,770,760,0,"4,891302",102
163,1970-01-01,11:47:48.48,42468479729280,,770,760,770,770,770,760,760,760,0,"4,891302",103
164,1970-01-01,11:47:48.58,42468579723940,,770,760,770,770,770,760,760,760,0,"4,891302",103
165,1970-01-01,11:47:48.68,42468679729195,,770,760,770,770,770,760,770,760,0,"4,891302",102
166,1970-01-01,11:47:48.78,42468779780710,,770,760,770,770,770,760,770,760,0,"4,891302",103
167,1970-01-01,11:47:48.88,42468879784145,,770,760,770,770,770,760,760,760,0,"4,891302",103
168,1970-01-01,11:47:48.98,42468979727910,,770,760,770,770,770,760,770,760,0,"4,891302",103
169,1970-01-01,11:47:49.08,42469079773575,,770,760,770,770,770,760,770,760,0,"4,891302",103
170,1970-01-01,11:47:49.18,42469179765760,,770,760,770,770,770,760,770,760,0,"4,891302",103
171,1970-01-01,11:47:49.28,42469279714885,,770,760,770,770,770,760,770,760,0,"4,891302",103
172,1970-01-01,11:47:49.38,42469379769040,,770,760,770,770,770,760,760,760,0,"4,891302",103
173,1970-01-01,11:47:49.48,42469479779265,,770,760,770,770,770,760,770,760,0,"4,891302",102
174,1970-01-01,11:47:49.58,42469579772010,,770,760,770,770,770,760,760,760,0,"4,891302",103
175,1970-01-01,11:47:49.68,42469679748195,,770,760,770,770,770,760,760,760,0,"4,891302",103
176,1970-01-01,11:47:49.78,42469779740760,,770,760,770,770,770,760,770,760,0,"4,891302",103
